sp_elev,sp,elevation,year,month,monthly_pet,monthly_tmed,monthly_prec
halepensis_medium,halepensis,medium,1997,6,98.83853784522996,18.489999930063885,1.7999999523162842
halepensis_medium,halepensis,medium,1997,7,115.0402111879038,20.338709677419356,0.20000000298023224
halepensis_medium,halepensis,medium,1997,8,116.94500886441364,21.52903236881379,1
halepensis_medium,halepensis,medium,1997,9,82.74281626628306,18.400000031789144,142.1000026613474
halepensis_medium,halepensis,medium,1997,10,57.4837810765771,14.919354777182305,1.100000023841858
halepensis_medium,halepensis,medium,1997,11,26.338446066560067,9.396666653951009,11.000000111758707
halepensis_medium,halepensis,medium,1997,12,18.147206289196458,7.3096774316603135,77.69999895244837
halepensis_medium,halepensis,medium,1998,1,16.605156496143724,6.73870962665927,7.5
halepensis_medium,halepensis,medium,1998,2,20.722875835307654,7.967857122421265,32.80000030249357
halepensis_medium,halepensis,medium,1998,3,39.78115155551245,11.012903275028352,3.80000002682209
halepensis_medium,halepensis,medium,1998,4,37.89765285825119,10.130000034968058,0.6000000089406967
halepensis_medium,halepensis,medium,1998,5,59.901147552605174,12.990322682165331,41.500000320374966
halepensis_medium,halepensis,medium,1998,6,111.96948127129332,20.21333344777425,4.5
halepensis_medium,halepensis,medium,1998,7,144.16414904598105,23.89677423046481,0
halepensis_medium,halepensis,medium,1998,8,130.527415092371,23.287096761888073,0.7000000178813934
halepensis_medium,halepensis,medium,1998,9,87.20366882071005,19.103333377838133,27.999999918043613
halepensis_medium,halepensis,medium,1998,10,51.4037935187803,13.77419351762341,0
halepensis_medium,halepensis,medium,1998,11,29.57037274141692,10.20666667620341,5.299999952316284
halepensis_medium,halepensis,medium,1998,12,15.397195935170028,6.500000019227305,41.59999942779541
halepensis_medium,halepensis,medium,1999,1,14.648191422342878,6.161290314889723,36.19999951124191
halepensis_medium,halepensis,medium,1999,2,15.249082752056122,6.399999954072492,32.70000100135803
halepensis_medium,halepensis,medium,1999,3,30.21567297964222,9.048387096774194,27.50000038743019
halepensis_medium,halepensis,medium,1999,4,52.1219160071143,12.719999901453654,0
halepensis_medium,halepensis,medium,1999,5,89.29183851794029,17.277419397907874,0
halepensis_medium,halepensis,medium,1999,6,113.54928810051666,20.41666669845581,0.20000000298023224
halepensis_medium,halepensis,medium,1999,7,145.14576883269945,24.012903275028354,0.4000000059604645
halepensis_medium,halepensis,medium,1999,8,139.62564901757102,24.435483994022498,0
halepensis_medium,halepensis,medium,1999,9,85.06003390104786,18.76666669845581,7.700000122189522
halepensis_medium,halepensis,medium,1999,10,54.12002912773589,14.290322519117789,41.29999968409538
halepensis_medium,halepensis,medium,1999,11,19.13858143317404,7.480000001192093,48.69999933242798
halepensis_medium,halepensis,medium,1999,12,16.25963033619572,6.758064513244936,22.30000076442957
halepensis_medium,halepensis,medium,2000,1,10.512774663010411,4.861290301046064,7.599999941885471
halepensis_medium,halepensis,medium,2000,2,31.29582921951863,10.696551914872794,0
halepensis_medium,halepensis,medium,2000,3,35.858995816765734,10.225806466994747,0
halepensis_medium,halepensis,medium,2000,4,36.35321681794627,9.833333253860474,18.400000408291817
halepensis_medium,halepensis,medium,2000,5,78.04762213136307,15.6935483255694,83.80000013113022
halepensis_medium,halepensis,medium,2000,6,117.82778550830918,20.96333322525025,0.20000000298023224
halepensis_medium,halepensis,medium,2000,7,142.34232244692197,23.6806451735958,0
halepensis_medium,halepensis,medium,2000,8,131.69314533631348,23.435483932495117,0
halepensis_medium,halepensis,medium,2000,9,88.09955272375979,19.24333340326945,1.9999999850988388
halepensis_medium,halepensis,medium,2000,10,47.47134754691508,13.012903244264663,69.20000112056732
halepensis_medium,halepensis,medium,2000,11,22.525226606492865,8.40333333015442,3.0000000074505806
halepensis_medium,halepensis,medium,2000,12,19.72430093052171,7.758064562274564,41.50000095367432
halepensis_medium,halepensis,medium,2001,1,17.14168188786202,6.893548396325881,17.30000066757202
halepensis_medium,halepensis,medium,2001,2,19.24320292873584,7.557142845221928,4.799999929964542
halepensis_medium,halepensis,medium,2001,3,44.792645385190866,11.987096663444271,5.6999999061226845
halepensis_medium,halepensis,medium,2001,4,51.26357470816994,12.570000012715658,4.900000095367432
halepensis_medium,halepensis,medium,2001,5,67.76573781332786,14.187096764964442,29.60000067204237
halepensis_medium,halepensis,medium,2001,6,130.60539909270895,22.563333384195964,0
halepensis_medium,halepensis,medium,2001,7,142.5323534540124,23.70322590489541,0
halepensis_medium,halepensis,medium,2001,8,137.5401988907151,24.174193474554247,0
halepensis_medium,halepensis,medium,2001,9,85.10233373817577,18.773333326975504,34.900000393390656
halepensis_medium,halepensis,medium,2001,10,61.82645786332309,15.716129026105326,54.9999989643693
halepensis_medium,halepensis,medium,2001,11,19.019302795382817,7.446666669845581,21.400000147521496
halepensis_medium,halepensis,medium,2001,12,14.296388413055052,6.164516156719577,29.300000056624413
halepensis_medium,halepensis,medium,2002,1,16.973494562494228,6.845161238024311,0.30000001192092896
halepensis_medium,halepensis,medium,2002,2,25.425885979126416,9.221428530556816,0
halepensis_medium,halepensis,medium,2002,3,31.59667214995224,9.341935511558288,64.69999895244837
halepensis_medium,halepensis,medium,2002,4,40.470472919212305,10.61666660308838,41.299999967217445
halepensis_medium,halepensis,medium,2002,5,69.21520888540257,14.4032258372153,2.699999988079071
halepensis_medium,halepensis,medium,2002,6,123.10608611711828,21.629999860127768,9.399999618530272
halepensis_medium,halepensis,medium,2002,7,135.79074825331165,22.896774168937437,0
halepensis_medium,halepensis,medium,2002,8,120.44270715924264,21.987096786499023,3.4999999552965164
