sp,elevation,year,precip_total_anual
pinaster,medium,2008,335.5000001639128
pinaster,medium,2009,532.0000012144446
pinaster,medium,2010,666.6000014767051
pinaster,medium,2011,305.60000091046095
pinaster,medium,2012,334.8999993428588
pinaster,medium,2013,424.9999975413084
pinaster,medium,2014,333.59999894350767
pinaster,medium,2015,260.8000010699034
pinaster,medium,2016,382.10000183433294
pinaster,medium,2017,207.7000004276633
pinaster,medium,2018,477.5999978110194
pinaster,medium,2019,282.7999994903803
pinaster,medium,2020,319.59999987483025
pinaster,medium,2021,202.0000018030405
pinaster,medium,2022,238.40000111609697
sylvestris,high,1971,713.1000069901347
sylvestris,high,1972,626.9000044837594
sylvestris,high,1973,710.7000003904104
sylvestris,high,1974,342.89999594539404
sylvestris,high,1975,510.9000005796551
sylvestris,high,1976,952.7999923601747
sylvestris,high,1977,610.5000000447035
sylvestris,high,1978,798.4000014960766
sylvestris,high,1979,1018.3999986425042
sylvestris,high,1980,476.49999959766865
sylvestris,high,1981,557.699998497963
sylvestris,high,1982,733.1000028774142
sylvestris,high,1983,633.8999953195453
sylvestris,high,1984,603.3999998942018
sylvestris,high,1985,477.19999946653843
sylvestris,high,1986,586.9999981150031
sylvestris,high,1987,847.3999989032745
sylvestris,high,1988,472.299995534122
sylvestris,high,1989,1228.9999924823642
sylvestris,high,1990,558.2999989017844
sylvestris,high,1991,525.9999964535236
sylvestris,high,1992,576.099999062717
sylvestris,high,1993,450.6999980136752
sylvestris,high,1994,369.69999900460243
sylvestris,high,1995,489.80000607669353
sylvestris,high,1996,1713.9000063836575
sylvestris,high,1997,910.59999319911
sylvestris,high,1998,482.29999943077564
sylvestris,high,1999,453.2000033482909
sylvestris,high,2000,859.6000020876527
sylvestris,high,2001,555.4000027552247
sylvestris,high,2002,631.3000022172928
sylvestris,high,2003,758.3999980911613
sylvestris,high,2004,565.0999981239438
sylvestris,high,2005,312.2000010609627
sylvestris,high,2006,502.9000003859401
sylvestris,high,2007,437.0000021457672
sylvestris,high,2008,716.700010061264
sylvestris,high,2009,887.9000010341406
sylvestris,high,2010,1421.5999950245023
sylvestris,high,2011,601.6999965533614
sylvestris,high,2012,561.4000017344952
sylvestris,high,2013,576.1000045090914
