sp,elevation,year,temp_media_anual
pinaster,high,2009,11.187992836727823
pinaster,high,2010,10.328168846607586
pinaster,high,2011,10.551429881426733
pinaster,high,2012,10.898815652755706
pinaster,high,2013,9.824873266261427
pinaster,high,2014,10.753918308596315
pinaster,high,2015,11.310338596846856
pinaster,high,2016,10.71864076688814
pinaster,high,2017,11.610027515296517
pinaster,high,2018,10.019938538683586
pinaster,high,2019,11.080167675565946
pinaster,high,2020,11.423557954462332
pinaster,high,2021,11.24023809362388
pinaster,high,2022,12.84658696821958
pinaster,low,1971,11.167970449011058
pinaster,low,1972,11.220119875699039
pinaster,low,1973,12.173305172921495
pinaster,low,1974,12.198524728638663
pinaster,low,1975,11.493129172965434
pinaster,low,1976,10.935484189011351
pinaster,low,1977,11.373890787051753
pinaster,low,1978,11.527701586127495
pinaster,low,1979,11.870523548083494
pinaster,low,1980,11.694760241919257
pinaster,low,1981,12.852511523127617
pinaster,low,1982,12.251390156067462
pinaster,low,1983,13.314469435776946
pinaster,low,1984,11.774122500034334
pinaster,low,1985,13.157872504744768
pinaster,low,1986,12.672489137223483
pinaster,low,1987,12.997048132215792
pinaster,low,1988,12.710753933694008
pinaster,low,1989,13.117108921947016
pinaster,low,1990,12.99020482763587
pinaster,low,1991,12.499432920058355
pinaster,low,1992,12.179049890277788
pinaster,low,1993,11.894025864821028
pinaster,low,1994,13.592980682052275
pinaster,low,1995,13.445974776108358
pinaster,low,1996,12.041608906925248
pinaster,low,1997,12.819677426197927
pinaster,low,1998,13.068642485097692
pinaster,low,1999,13.234380405088501
pinaster,low,2000,13.260023493585415
pinaster,low,2001,13.222714388794735
pinaster,low,2002,13.00417434626888
pinaster,low,2003,12.718838336064751
pinaster,low,2004,12.648270618402092
pinaster,low,2005,12.66908535237066
pinaster,low,2006,12.904349741484651
pinaster,low,2007,12.359254376938937
pinaster,low,2008,12.244727781550719
pinaster,low,2009,13.219406045658568
pinaster,low,2010,12.505254107441122
pinaster,low,2011,12.837428331863054
pinaster,low,2012,13.055927553497202
pinaster,low,2013,12.136504753619667
pinaster,low,2014,13.123277632939438
pinaster,low,2015,13.4194105580039
pinaster,low,2016,13.125777410662087
pinaster,low,2017,13.751141193243582
pinaster,low,2018,12.334287006651703
pinaster,low,2019,13.372644036936183
pinaster,low,2020,13.448844096758519
pinaster,low,2021,13.453951587815446
pinaster,low,2022,14.70391998071275
pinaster,medium,1971,9.948022903559021
pinaster,medium,1972,9.97376098574882
pinaster,medium,1973,11.020889619910298
pinaster,medium,1974,11.100836560940031
